rank	priority	address	length	name	lane	attempt	snapshot	next_action
25	P3	0088fd00	84	CGameScriptInterface::EntitySetInLimbo	fse1	bounded	yes	Previously behavior-complete at DIFFER(80v84); remaining four bytes are documented EBX restoration/BL reuse scheduling residue
26	P3	0089e130	83	CGameScriptInterface::EntitySetMaxNumberOfAttackers	fse1	bounded	yes	Exact-length DIFFER(83v83) behavior PASS; resolve/flag gates and key-0x36 sentinel map store validated, remaining register/store schedule
27	P3	008961b0	83	CGameScriptInterface::ClearHeroEnemyOfGuards	fse1	bounded	yes	Exact-length DIFFER(83v83) behavior PASS; resolve/flag gates and key-0x22 sentinel map clear validated, remaining register/store schedule
28	P3	00891070	83	CGameScriptInterface::CameraUseCameraPoint	fse1	bounded	no	Behavior PASS at DIFFER(75v83); reviewed null-only resolve/component gates and exact +0x120/+0x66c forwards, remaining compiler layout residue
29	P3	00890820	80	CGameScriptInterface::FadeScreenOut	fse1	bounded	no	behavior complete DIFFER(85v80); branch-specific color-load scheduling residue
30	P3	0089c850	79	CGameScriptInterface::RemoveOpinionDeedStillSearchingForWitnesses	fse1	bounded	yes	behavior complete DIFFER(77v79); two-byte push/load selection residue
31	P3	0089c330	79	CGameScriptInterface::EntitySetOpinionDeedTypeEnabled	fse1	bounded	yes	behavior complete DIFFER(82v79); signed-capability codegen residue
32	P3	0089c380	79	CGameScriptInterface::EntitySetOpinionAttitudeEnabled	fse1	bounded	yes	behavior complete DIFFER(82v79); signed-capability codegen residue
33	P3	0089c3d0	79	CGameScriptInterface::EntitySetOpinionReactionEnabled	fse1	bounded	yes	behavior complete DIFFER(82v79); signed-capability codegen residue
34	P3	0089c510	74	CGameScriptInterface::OpinionSourceSetAsAttentionGrabbing	fse1	bounded	yes	exact-length DIFFER(74v74); retail sentinel precondition validated
35	P3	008a0bc0	76	CGameScriptInterface::EntitySetAppearanceSeed	fse1	bounded	yes	behavior complete DIFFER(74v76); two-byte push/load selection residue
36	P3	006e7690	74	CGameScriptInterface::DeregisterTimer	fse1	bounded	yes	behavior complete DIFFER(78v74); erase/free scheduling residue
37	P3	008a0c10	73	CGameScriptInterface::EntityGetAppearanceSeed	fse1	bounded	no	exact-length DIFFER(73v73); retail sentinel precondition validated
38	P3	00897150	64	CGameScriptInterface::UnSetThingAndCarriedItemsNotAffectedByScreenFilter	fse1	bounded	no	exact-length DIFFER(64v64); retail sentinel precondition validated
39	P3	0089c670	160	CGameScriptInterface::EntityPostOpinionDeedToRecipient	fse2	bounded	yes	behavior complete DIFFER(167v160); signed-flag/register scheduling residue
40	P3	0089c710	160	CGameScriptInterface::EntityPostOpinionDeedToRecipientVillage	fse2	bounded	yes	behavior complete DIFFER(167v160); signed-flag/register scheduling residue
41	P3	00894c90	158	CGameScriptInterface::IsGiftFriendly	fse2	bounded	yes	behavior complete DIFFER(185v158); smart-pointer cleanup codegen residue
42	P3	00894d30	159	CGameScriptInterface::IsGiftOffensive	fse2	bounded	yes	behavior complete DIFFER(184v159); smart-pointer cleanup codegen residue
43	P3	00894bf0	159	CGameScriptInterface::IsGiftRomantic	fse2	bounded	yes	behavior complete DIFFER(184v159); smart-pointer cleanup codegen residue
44	P3	00893b00	151	CGameScriptInterface::MsgOnExpressionPerformed	fse2	bounded	no	behavior complete DIFFER(154v151); filter-local scheduling residue
45	P3	0089c7b0	147	CGameScriptInterface::EntityPostOpinionDeedKeepSearchingForWitnesses	fse2	bounded	yes	exact-length DIFFER(147v147); register/evaluation ordering residue
46	P3	0089fc80	147	CGameScriptInterface::CreateExplosion	fse2	bounded	yes	behavior complete DIFFER(150v147); owned-value/fallback scheduling residue
47	P3	0088f570	147	CGameScriptInterface::Play2DSound	fse2	bounded	yes	behavior complete DIFFER(150v147); parameter-store scheduling residue
48	P3	00896120	143	CGameScriptInterface::TryToRespawnDefNamed	fse2	bounded	no	corrected source-thing ABI; behavior complete DIFFER(146v143)
49	P3	00897190	137	CGameScriptInterface::GetNumberOfItemsOfTypeInInventory	fse2	bounded	no	behavior complete DIFFER(139v137); instruction-selection residue
50	P3	008953a0	136	CGameScriptInterface::IsHeroPerformingExpression	fse2	bounded	yes	behavior complete DIFFER(151v136); register/control-flow scheduling residue
51	P3	008955c0	136	CGameScriptInterface::IsEntityFollowingHero	fse2	bounded	yes	behavior complete DIFFER(143v136); register/control-flow scheduling residue
52	P3	00894dd0	131	CGameScriptInterface::EntitySetAsMarryable	fse2	bounded	yes	DIFFER(124v131); documented bit-update residue
53	P3	008931b0	135	CGameScriptInterface::MsgIsLevelLoaded	fse2	bounded	yes	DIFFER(135v135); filter-local register/store scheduling
54	P3	00893240	135	CGameScriptInterface::MsgIsLevelUnloaded	fse2	bounded	yes	DIFFER(135v135); event-0x25 twin of loaded filter residue
55	P3	0088f480	25	CGameScriptInterface::ApplyScriptBrush	fse1	bounded	yes	DIFFER(25v25); documented free register-coloring residue
56	P3	0088e3d0	33	CGameScriptInterface::MiniMapAllowRouteBetweenRegions	fse1	bounded	yes	DIFFER(33v33); corrected no-argument returned-map call, register coloring remains
57	P3	0089fda0	120	CGameScriptInterface::CreateRumble	fse2	bounded	yes	DIFFER(120v120); cleanup-address/vtable-store scheduling only
58	P3	0089fd20	123	CGameScriptInterface::CreatePhysicalBarrier	fse2	bounded	yes	DIFFER(123v123); same cleanup-address/vtable-store scheduling residue
59	P3	0045641a	39	OnDie	batch13	bounded	no	DIFFER(46v39) RTM/QFE; retail-only fastcall tail-jump schedule
60	P3	0044fa6d	41	~CBossDef	batch11	bounded	no	DIFFER(62v41); custom vtable-reset/fastcall tail-destructor shape
61	P3	0089b450	113	CGameScriptInterface::ChangeHeroHairstyle	fse2	bounded	yes	DIFFER(116v113); retry only with a new shrink-wrapped ESI hypothesis
62	P3	00898ec0	114	CGameScriptInterface::SetHeroHandLampAsLit	fse2	bounded	yes	DIFFER(113v114); retry only with a new SetActive call-scheduling hypothesis
63	P3	00892cf0	117	CGameScriptInterface::SetCreatureGeneratorsEnabled	fse2	bounded	yes	DIFFER(92v117); custom incoming-ESI null-string branch
64	P3	0089af30	182	CGameScriptInterface::RemoveAllCutSceneSkippedMessages	promotion	bounded	yes	Exact-length DIFFER(182v182) behavior PASS; type 0x32 query, matching-entry unlink/destruct/free, unmatched preservation and temporary-list cleanup validated
65	P3	00891170	164	CGameScriptInterface::PlaySoundAtPos	promotion	bounded	yes	Exact-length DIFFER(164v164) behavior PASS; symbol lookup, emitter create/gates, CSoundInit fields, PlaySample ABI and invalid-handle fallback validated; only ECX/EDX global-pointer coloring differs
66	P3	00893e70	80	CGameScriptInterface::MsgOnGameSavedManually	promotion	bounded	yes	Exact-length DIFFER(80v80) behavior PASS; distinct +0x18/+0x1c frame accessors, type 0x3e bound filter and newest-message predicate validated; only three independent filter-local stores differ in order
67	P3	008943c0	125	CGameScriptInterface::MsgIsTutorialClickedPast	promotion	bounded	yes	Exact-length DIFFER(125v125) behavior PASS; global gate, +0x0c selector, +0x17/+0xd7 enable bytes, type 0x12 two-frame query and default-true paths validated
68	P3	004165e8	134	CMainGameComponent::CheckSync	promotion	bounded	yes	DIFFER(132v134) behavior PASS; genuine count/index/copy/read ABIs, type-1 filtering, three discarded u32 reads and no-comparison retail stub validated; frame-pointer/register allocation residue
69	P3	0041726d	189	CMainGameComponent::UpdateFromEventPackageSet	promotion	bounded	yes	Exact-length DIFFER(189v189) behavior PASS; strict sequence gate, pre-update caught-up flag, world/display feedback, max frame, checksum/seed network update and corrected +0x1613c/+0x161e1 offsets validated
70	P3	009f1870	124	CGameEvent::InitFromCompressedBuffer	promotion	bounded	yes	DIFFER(118v124) behavior PASS; type/replacement decode, player, valid/endPos initialization, intrinsic payload copy and consumed-length return validated; retail spills player/length and zero-loads type accumulator
71	P3	008a9ae0	352	CGameScriptInterface::MsgOnBoastsMade	promotion	bounded	yes	DIFFER(279v352) behavior PASS; distinct frame accessors, type 0x29 plus extra-data query, event +0x3c payload, boast id/string copies, 8-byte vector append/growth ABI, nonempty return and complete temporary-list cleanup validated; retail STL cleanup duplication and register scheduling remain
72	P3	00c93b30	260	Audio_ApplyGainTableToBuffer	promotion	bounded	yes	DIFFER(250v260) behavior PASS; fastcall count/input ABI plus three stack args, total/max clamp, four-sample unroll, scalar remainder, indexed global gain lookup and zero-filled tail validated; remaining difference is VC7.1 EBX/ESI/EBP allocation and pointer-difference scheduling
73	P3	00c20ef0	41	IsStateStreaming_2to4	promotion	bounded	yes	DIFFER(46v41) behavior PASS; pre-read -1 stub call, signed 16-bit +0xac state read and true-only-for-2/3/4 predicate validated; this preservation across stub call remains
74	P3	00e7f7d0	27	GetFloatTableEntryByIndex	promotion	bounded	yes	DIFFER(34v27) behavior PASS; global table owner and indexed float lookup validated; global-owner/index register scheduling remains
75	P3	00429fe3	26	LinkedList_AllocateNode	promotion	bounded	yes	Exact-length DIFFER(26v26) behavior PASS; malloc(12) and source-value copy to node +8 validated; retail pop/lea/test versus folded add/branch codegen remains
76	P3	0042a008	26	Std_List_AllocateNode	promotion	bounded	yes	Exact-length DIFFER(26v26) behavior PASS; malloc(12) and source-value copy to node +8 validated; retail pop/lea/test versus folded add/branch codegen remains
77	P3	00429fbe	26	LinkedList_AllocateNode_12bytes	promotion	bounded	yes	Exact-length DIFFER(26v26) behavior PASS; malloc(12) and source-value copy to node +8 validated; retail pop/lea/test versus folded add/branch codegen remains
78	P3	0045493e	35	Copy_MemoryStepped	promotion	bounded	yes	Exact-length DIFFER(35v35) behavior PASS; fastcall begin/end, destination plus unused stack argument, overlap-safe memmove, advanced return and ret 8 validated; EDX/ESI subtraction ordering remains
79	P3	0045bcc1	35	CActiveFile_CopyRange	promotion	bounded	yes	Exact-length DIFFER(35v35) behavior PASS; fastcall begin/end, destination plus unused stack argument, overlap-safe memmove, advanced return and ret 8 validated; EDX/ESI subtraction ordering remains
80	P3	0045c71c	63	CActiveFile_AssignVector4	promotion	bounded	yes	DIFFER(55v63) behavior PASS; allocation, empty range and dword copying validated; retail allocation-minus-source delta versus directly advancing pointers remains
81	P3	00440d70	77	Vector_EraseRange	promotion	bounded	yes	Exact-length DIFFER(77v77) behavior PASS; five-argument move, 8-byte virtual destruction loop, finish update and returned first iterator validated; saved-register/final-store scheduling remains
82	P3	00440e00	59	Vector_CopyElements	promotion	bounded	yes	DIFFER(58v59) behavior PASS under RTM and QFE; element count and source/destination copying validated; retail ESI/EDI/EDX coloring and alignment shape remain
83	P3	00410d80	48	bitset_advance_iterator	promotion	bounded	yes	Exact-length DIFFER(48v48) behavior PASS; eight-slot stdcall ABI and direct/cross-block advancement validated; cursor load/increment canonicalization remains
84	P3	004121d0	50	Std_Vector_PushBack_WithGrow	promotion	bounded	yes	DIFFER(48v50) behavior PASS; four-byte spare-capacity construction, end advance and five-argument growth forwarding validated; merged fast/growth return remains
85	P3	00410550	67	MemoryPool_AdvancePointer	promotion	bounded	yes	DIFFER(61v67) behavior PASS; fast advance, slow free/rotation/next block, +0x80 end and current publication validated; merged duplicated store/return epilogues remain
86	P3	0045d264	68	CActiveFile_AssignVector8	promotion	bounded	yes	DIFFER(77v68) behavior PASS; stdcall three-argument ABI, zero/nonzero count allocation, empty range, two-dword element copying and allocation-failure null destination validated; retail late ESI/EDI saves and stack-resident end scheduling remain
87	P3	00493a40	26	ListNode_AllocateAndInsert	promotion	bounded	yes	Exact-length DIFFER(26v26) behavior PASS; malloc(12) and source-value copy to node +8 validated; retail pop/lea/test versus folded add/branch codegen remains
88	P3	0053c879	26	std::list_node::construct	promotion	bounded	yes	Exact-length DIFFER(26v26) behavior PASS; malloc(12) and source-value copy to node +8 validated; retail pop/lea/test versus folded add/branch codegen remains
89	P3	0057f525	26	LinkedList_AllocNode	promotion	bounded	yes	Exact-length DIFFER(26v26) behavior PASS; malloc(12) and source-value copy to node +8 validated; retail pop/lea/test versus folded add/branch codegen remains
90	P3	00592ad3	26	AllocateListNode	promotion	bounded	yes	Exact-length DIFFER(26v26) behavior PASS; malloc(12) and source-value copy to node +8 validated; retail pop/lea/test versus folded add/branch codegen remains
91	P3	005f807c	26	LinkedList_NewNode	promotion	bounded	yes	Exact-length DIFFER(26v26) behavior PASS; malloc(12) and source-value copy to node +8 validated; retail pop/lea/test versus folded add/branch codegen remains
