priority	name	kind	section	allocatorAddress	seedPackage	stage	evidence	nativeCluster	nativeOperationIr	requiredGates
20	Q_BowerstoneTownLifeIntro	quest	S_QBTLI	0x00D253B0		compare-runtime-trace	native-operation-ir-address-resolved	D:\Documents\FableTLC\refs\script_recovery\native_clusters\Q_BowerstoneTownLifeIntro.json	D:\Documents\FableTLC\refs\script_recovery\native_operation_ir\Q_BowerstoneTownLifeIntro.json	typed-decompile;api-map;state-map;persistence-map;static-validate;trace-review
20	Q_BreakSiege	quest	S_QBS	0x00D23C80		compare-runtime-trace	native-operation-ir-address-resolved	D:\Documents\FableTLC\refs\script_recovery\native_clusters\Q_BreakSiege.json	D:\Documents\FableTLC\refs\script_recovery\native_operation_ir\Q_BreakSiege.json	typed-decompile;api-map;state-map;persistence-map;static-validate;trace-review
20	Q_CinemaTest	quest		0x00F02460		compare-runtime-trace	native-operation-ir-address-resolved	D:\Documents\FableTLC\refs\script_recovery\native_clusters\Q_CinemaTest.json	D:\Documents\FableTLC\refs\script_recovery\native_operation_ir\Q_CinemaTest.json	typed-decompile;api-map;state-map;persistence-map;static-validate;trace-review
20	Q_EndGame	quest	S_QEG	0x00D2A7C0		compare-runtime-trace	native-operation-ir-address-resolved	D:\Documents\FableTLC\refs\script_recovery\native_clusters\Q_EndGame.json	D:\Documents\FableTLC\refs\script_recovery\native_operation_ir\Q_EndGame.json	typed-decompile;api-map;state-map;persistence-map;static-validate;trace-review
20	Q_EndGameBossBattle	quest	S_QEGBB	0x00D34410		compare-runtime-trace	native-operation-ir-address-resolved	D:\Documents\FableTLC\refs\script_recovery\native_clusters\Q_EndGameBossBattle.json	D:\Documents\FableTLC\refs\script_recovery\native_operation_ir\Q_EndGameBossBattle.json	typed-decompile;api-map;state-map;persistence-map;static-validate;trace-review
20	Q_EndGameFocalSites	quest	S_QEGFS	0x00D2F5F0		compare-runtime-trace	native-operation-ir-address-resolved	D:\Documents\FableTLC\refs\script_recovery\native_clusters\Q_EndGameFocalSites.json	D:\Documents\FableTLC\refs\script_recovery\native_operation_ir\Q_EndGameFocalSites.json	typed-decompile;api-map;state-map;persistence-map;static-validate;trace-review
20	Q_FireHeart	quest	S_QFHT	0x00D3AFC0		compare-runtime-trace	native-operation-ir-address-resolved	D:\Documents\FableTLC\refs\script_recovery\native_clusters\Q_FireHeart.json	D:\Documents\FableTLC\refs\script_recovery\native_operation_ir\Q_FireHeart.json	typed-decompile;api-map;state-map;persistence-map;static-validate;trace-review
20	Q_GuildTraining	quest	S_QGT	0x00D50600		compare-runtime-trace	native-operation-ir-address-resolved	D:\Documents\FableTLC\refs\script_recovery\native_clusters\Q_GuildTraining.json	D:\Documents\FableTLC\refs\script_recovery\native_operation_ir\Q_GuildTraining.json	typed-decompile;api-map;state-map;persistence-map;static-validate;trace-review
20	Q_GuildTrainingDeparture	quest	S_QGTD	0x00D513C0		compare-runtime-trace	native-operation-ir-address-resolved	D:\Documents\FableTLC\refs\script_recovery\native_clusters\Q_GuildTrainingDeparture.json	D:\Documents\FableTLC\refs\script_recovery\native_operation_ir\Q_GuildTrainingDeparture.json	typed-decompile;api-map;state-map;persistence-map;static-validate;trace-review
20	Q_GuildTrainingMelee	quest	S_QGTM	0x00D5A9F0		compare-runtime-trace	native-operation-ir-address-resolved	D:\Documents\FableTLC\refs\script_recovery\native_clusters\Q_GuildTrainingMelee.json	D:\Documents\FableTLC\refs\script_recovery\native_operation_ir\Q_GuildTrainingMelee.json	typed-decompile;api-map;state-map;persistence-map;static-validate;trace-review
20	Q_GuildTrainingPreMelee	quest	S_QGTPM	0x00D55D10		compare-runtime-trace	native-operation-ir-address-resolved	D:\Documents\FableTLC\refs\script_recovery\native_clusters\Q_GuildTrainingPreMelee.json	D:\Documents\FableTLC\refs\script_recovery\native_operation_ir\Q_GuildTrainingPreMelee.json	typed-decompile;api-map;state-map;persistence-map;static-validate;trace-review
20	Q_GuildTrainingSkill	quest	S_QGTS	0x00D5DBF0		compare-runtime-trace	native-operation-ir-address-resolved	D:\Documents\FableTLC\refs\script_recovery\native_clusters\Q_GuildTrainingSkill.json	D:\Documents\FableTLC\refs\script_recovery\native_operation_ir\Q_GuildTrainingSkill.json	typed-decompile;api-map;state-map;persistence-map;static-validate;trace-review
20	Q_GuildTrainingWill	quest	S_QGTW	0x00D61BB0		compare-runtime-trace	native-operation-ir-address-resolved	D:\Documents\FableTLC\refs\script_recovery\native_clusters\Q_GuildTrainingWill.json	D:\Documents\FableTLC\refs\script_recovery\native_operation_ir\Q_GuildTrainingWill.json	typed-decompile;api-map;state-map;persistence-map;static-validate;trace-review
20	Q_GuildTrainingWoodsDeparture	quest	S_QGTWD	0x00D664D0		compare-runtime-trace	native-operation-ir-address-resolved	D:\Documents\FableTLC\refs\script_recovery\native_clusters\Q_GuildTrainingWoodsDeparture.json	D:\Documents\FableTLC\refs\script_recovery\native_operation_ir\Q_GuildTrainingWoodsDeparture.json	typed-decompile;api-map;state-map;persistence-map;static-validate;trace-review
20	Q_GuildTrainingWoodsMelee	quest	S_QGTWM	0x00D67740		compare-runtime-trace	native-operation-ir-address-resolved	D:\Documents\FableTLC\refs\script_recovery\native_clusters\Q_GuildTrainingWoodsMelee.json	D:\Documents\FableTLC\refs\script_recovery\native_operation_ir\Q_GuildTrainingWoodsMelee.json	typed-decompile;api-map;state-map;persistence-map;static-validate;trace-review
20	Q_GuildTrainingWoodsWill	quest	S_QGTWW	0x00D68EA0		compare-runtime-trace	native-operation-ir-address-resolved	D:\Documents\FableTLC\refs\script_recovery\native_clusters\Q_GuildTrainingWoodsWill.json	D:\Documents\FableTLC\refs\script_recovery\native_operation_ir\Q_GuildTrainingWoodsWill.json	typed-decompile;api-map;state-map;persistence-map;static-validate;trace-review
20	Q_HangingTreeEvil	quest	S_QHTE	0x00D6ED10		compare-runtime-trace	native-operation-ir-address-resolved	D:\Documents\FableTLC\refs\script_recovery\native_clusters\Q_HangingTreeEvil.json	D:\Documents\FableTLC\refs\script_recovery\native_operation_ir\Q_HangingTreeEvil.json	typed-decompile;api-map;state-map;persistence-map;static-validate;trace-review
20	Q_HangingTreeGood	quest	S_QHTG	0x00D78290		compare-runtime-trace	native-operation-ir-address-resolved	D:\Documents\FableTLC\refs\script_recovery\native_clusters\Q_HangingTreeGood.json	D:\Documents\FableTLC\refs\script_recovery\native_operation_ir\Q_HangingTreeGood.json	typed-decompile;api-map;state-map;persistence-map;static-validate;trace-review
20	Q_HeroSouls	quest	S_QHSS	0x00D7AC50		compare-runtime-trace	native-operation-ir-address-resolved	D:\Documents\FableTLC\refs\script_recovery\native_clusters\Q_HeroSouls.json	D:\Documents\FableTLC\refs\script_recovery\native_operation_ir\Q_HeroSouls.json	typed-decompile;api-map;state-map;persistence-map;static-validate;trace-review
20	Q_HeroSoulsArena	quest	S_QHSA	0x00D80BA0		compare-runtime-trace	native-operation-ir-address-resolved	D:\Documents\FableTLC\refs\script_recovery\native_clusters\Q_HeroSoulsArena.json	D:\Documents\FableTLC\refs\script_recovery\native_operation_ir\Q_HeroSoulsArena.json	typed-decompile;api-map;state-map;persistence-map;static-validate;trace-review
20	Q_HeroSoulsBriar	quest	S_QHSB	0x00D83300		compare-runtime-trace	native-operation-ir-address-resolved	D:\Documents\FableTLC\refs\script_recovery\native_clusters\Q_HeroSoulsBriar.json	D:\Documents\FableTLC\refs\script_recovery\native_operation_ir\Q_HeroSoulsBriar.json	typed-decompile;api-map;state-map;persistence-map;static-validate;trace-review
20	Q_HeroSoulsGuildmaster	quest	S_QHSG	0x00D87A80		compare-runtime-trace	native-operation-ir-address-resolved	D:\Documents\FableTLC\refs\script_recovery\native_clusters\Q_HeroSoulsGuildmaster.json	D:\Documents\FableTLC\refs\script_recovery\native_operation_ir\Q_HeroSoulsGuildmaster.json	typed-decompile;api-map;state-map;persistence-map;static-validate;trace-review
20	Q_HeroSoulsMother	quest	S_QHSM	0x00D84AF0		compare-runtime-trace	native-operation-ir-address-resolved	D:\Documents\FableTLC\refs\script_recovery\native_clusters\Q_HeroSoulsMother.json	D:\Documents\FableTLC\refs\script_recovery\native_operation_ir\Q_HeroSoulsMother.json	typed-decompile;api-map;state-map;persistence-map;static-validate;trace-review
20	Q_HeroSoulsNostro	quest	S_QHSN	0x00D89CF0		compare-runtime-trace	native-operation-ir-address-resolved	D:\Documents\FableTLC\refs\script_recovery\native_clusters\Q_HeroSoulsNostro.json	D:\Documents\FableTLC\refs\script_recovery\native_operation_ir\Q_HeroSoulsNostro.json	typed-decompile;api-map;state-map;persistence-map;static-validate;trace-review
20	Q_HeroSoulsThunder	quest	S_QHST	0x00D7C6A0		compare-runtime-trace	native-operation-ir-address-resolved	D:\Documents\FableTLC\refs\script_recovery\native_clusters\Q_HeroSoulsThunder.json	D:\Documents\FableTLC\refs\script_recovery\native_operation_ir\Q_HeroSoulsThunder.json	typed-decompile;api-map;state-map;persistence-map;static-validate;trace-review
20	Q_HobbeCave	quest	S_QHC	0x00D99DC0		compare-runtime-trace	native-operation-ir-address-resolved	D:\Documents\FableTLC\refs\script_recovery\native_clusters\Q_HobbeCave.json	D:\Documents\FableTLC\refs\script_recovery\native_operation_ir\Q_HobbeCave.json	typed-decompile;api-map;state-map;persistence-map;static-validate;trace-review
20	Q_HobbeToothContest	quest	S_QHTC	0x00D9E190		compare-runtime-trace	native-operation-ir-address-resolved	D:\Documents\FableTLC\refs\script_recovery\native_clusters\Q_HobbeToothContest.json	D:\Documents\FableTLC\refs\script_recovery\native_operation_ir\Q_HobbeToothContest.json	typed-decompile;api-map;state-map;persistence-map;static-validate;trace-review
20	Q_MinionCamp	quest	S_QMC	0x00DA2F40		compare-runtime-trace	native-operation-ir-address-resolved	D:\Documents\FableTLC\refs\script_recovery\native_clusters\Q_MinionCamp.json	D:\Documents\FableTLC\refs\script_recovery\native_operation_ir\Q_MinionCamp.json	typed-decompile;api-map;state-map;persistence-map;static-validate;trace-review
20	Q_MinionClifftopChase	quest	S_QMCC	0x00DAAB70		compare-runtime-trace	native-operation-ir-address-resolved	D:\Documents\FableTLC\refs\script_recovery\native_clusters\Q_MinionClifftopChase.json	D:\Documents\FableTLC\refs\script_recovery\native_operation_ir\Q_MinionClifftopChase.json	typed-decompile;api-map;state-map;persistence-map;static-validate;trace-review
20	Q_NewOakValeIntro	quest	S_QNOVI	0x00DBEF70		compare-runtime-trace	native-operation-ir-address-resolved	D:\Documents\FableTLC\refs\script_recovery\native_clusters\Q_NewOakValeIntro.json	D:\Documents\FableTLC\refs\script_recovery\native_operation_ir\Q_NewOakValeIntro.json	typed-decompile;api-map;state-map;persistence-map;static-validate;trace-review
20	Q_OakValeBanditRaid	quest	S_QOVBR	0x00DC24E0		compare-runtime-trace	native-operation-ir-address-resolved	D:\Documents\FableTLC\refs\script_recovery\native_clusters\Q_OakValeBanditRaid.json	D:\Documents\FableTLC\refs\script_recovery\native_operation_ir\Q_OakValeBanditRaid.json	typed-decompile;api-map;state-map;persistence-map;static-validate;trace-review
20	Q_OpeningGraveyardSecretPassage	quest	S_QOGSP	0x00DCBFD0		compare-runtime-trace	native-operation-ir-address-resolved	D:\Documents\FableTLC\refs\script_recovery\native_clusters\Q_OpeningGraveyardSecretPassage.json	D:\Documents\FableTLC\refs\script_recovery\native_operation_ir\Q_OpeningGraveyardSecretPassage.json	typed-decompile;api-map;state-map;persistence-map;static-validate;trace-review
20	Q_OrchardFarmRaid	quest	S_QOFR	0x00DD1EF0		compare-runtime-trace	native-operation-ir-address-resolved	D:\Documents\FableTLC\refs\script_recovery\native_clusters\Q_OrchardFarmRaid.json	D:\Documents\FableTLC\refs\script_recovery\native_operation_ir\Q_OrchardFarmRaid.json	typed-decompile;api-map;state-map;persistence-map;static-validate;trace-review
20	Q_OrchardFarmRaidEvil	quest	S_QOFRE	0x00DD2300		compare-runtime-trace	native-operation-ir-address-resolved	D:\Documents\FableTLC\refs\script_recovery\native_clusters\Q_OrchardFarmRaidEvil.json	D:\Documents\FableTLC\refs\script_recovery\native_operation_ir\Q_OrchardFarmRaidEvil.json	typed-decompile;api-map;state-map;persistence-map;static-validate;trace-review
20	Q_OrchardFarmRaidGood	quest	S_QOFRG	0x00DD2680		compare-runtime-trace	native-operation-ir-address-resolved	D:\Documents\FableTLC\refs\script_recovery\native_clusters\Q_OrchardFarmRaidGood.json	D:\Documents\FableTLC\refs\script_recovery\native_operation_ir\Q_OrchardFarmRaidGood.json	typed-decompile;api-map;state-map;persistence-map;static-validate;trace-review
20	Q_PrisonEscapeRescueMother	quest	S_QPERM	0x00DDACB0		compare-runtime-trace	native-operation-ir-address-resolved	D:\Documents\FableTLC\refs\script_recovery\native_clusters\Q_PrisonEscapeRescueMother.json	D:\Documents\FableTLC\refs\script_recovery\native_operation_ir\Q_PrisonEscapeRescueMother.json	typed-decompile;api-map;state-map;persistence-map;static-validate;trace-review
20	Q_PrisonRace	quest	S_QPR	0x00DDDC30		compare-runtime-trace	native-operation-ir-address-resolved	D:\Documents\FableTLC\refs\script_recovery\native_clusters\Q_PrisonRace.json	D:\Documents\FableTLC\refs\script_recovery\native_operation_ir\Q_PrisonRace.json	typed-decompile;api-map;state-map;persistence-map;static-validate;trace-review
20	Q_PrisonWardenGame	quest	S_QPWG	0x00DE0290		compare-runtime-trace	native-operation-ir-address-resolved	D:\Documents\FableTLC\refs\script_recovery\native_clusters\Q_PrisonWardenGame.json	D:\Documents\FableTLC\refs\script_recovery\native_operation_ir\Q_PrisonWardenGame.json	typed-decompile;api-map;state-map;persistence-map;static-validate;trace-review
20	Q_RansomVictim	quest	S_QRV	0x00DEBC60		compare-runtime-trace	native-operation-ir-address-resolved	D:\Documents\FableTLC\refs\script_recovery\native_clusters\Q_RansomVictim.json	D:\Documents\FableTLC\refs\script_recovery\native_operation_ir\Q_RansomVictim.json	typed-decompile;api-map;state-map;persistence-map;static-validate;trace-review
20	Q_RansomVictimChiefsHouse	quest	S_QRVCH	0x00DEC790		compare-runtime-trace	native-operation-ir-address-resolved	D:\Documents\FableTLC\refs\script_recovery\native_clusters\Q_RansomVictimChiefsHouse.json	D:\Documents\FableTLC\refs\script_recovery\native_operation_ir\Q_RansomVictimChiefsHouse.json	typed-decompile;api-map;state-map;persistence-map;static-validate;trace-review
20	Q_SecretPassage	quest	S_QSP	0x00DF1080		compare-runtime-trace	native-operation-ir-address-resolved	D:\Documents\FableTLC\refs\script_recovery\native_clusters\Q_SecretPassage.json	D:\Documents\FableTLC\refs\script_recovery\native_operation_ir\Q_SecretPassage.json	typed-decompile;api-map;state-map;persistence-map;static-validate;trace-review
20	Q_SummoningTheShip	quest	S_QSTS	0x00DF4070		compare-runtime-trace	native-operation-ir-address-resolved	D:\Documents\FableTLC\refs\script_recovery\native_clusters\Q_SummoningTheShip.json	D:\Documents\FableTLC\refs\script_recovery\native_operation_ir\Q_SummoningTheShip.json	typed-decompile;api-map;state-map;persistence-map;static-validate;trace-review
20	Q_TentacleKrakenBossFight	quest	S_QTKBF	0x00DF5C00		compare-runtime-trace	native-operation-ir-address-resolved	D:\Documents\FableTLC\refs\script_recovery\native_clusters\Q_TentacleKrakenBossFight.json	D:\Documents\FableTLC\refs\script_recovery\native_operation_ir\Q_TentacleKrakenBossFight.json	typed-decompile;api-map;state-map;persistence-map;static-validate;trace-review
20	Q_TraderConflictEvil	quest	S_QTCE	0x00DFA020		compare-runtime-trace	native-operation-ir-address-resolved	D:\Documents\FableTLC\refs\script_recovery\native_clusters\Q_TraderConflictEvil.json	D:\Documents\FableTLC\refs\script_recovery\native_operation_ir\Q_TraderConflictEvil.json	typed-decompile;api-map;state-map;persistence-map;static-validate;trace-review
20	Q_TraderConflictGood	quest	S_QTCG	0x00E00610		compare-runtime-trace	native-operation-ir-address-resolved	D:\Documents\FableTLC\refs\script_recovery\native_clusters\Q_TraderConflictGood.json	D:\Documents\FableTLC\refs\script_recovery\native_operation_ir\Q_TraderConflictGood.json	typed-decompile;api-map;state-map;persistence-map;static-validate;trace-review
20	Q_TraderEscort	quest	S_QTE	0x00E0AF60		compare-runtime-trace	native-operation-ir-address-resolved	D:\Documents\FableTLC\refs\script_recovery\native_clusters\Q_TraderEscort.json	D:\Documents\FableTLC\refs\script_recovery\native_operation_ir\Q_TraderEscort.json	typed-decompile;api-map;state-map;persistence-map;static-validate;trace-review
20	Q_UndeadRising	quest	S_QUR	0x00E0E760		compare-runtime-trace	native-operation-ir-address-resolved	D:\Documents\FableTLC\refs\script_recovery\native_clusters\Q_UndeadRising.json	D:\Documents\FableTLC\refs\script_recovery\native_operation_ir\Q_UndeadRising.json	typed-decompile;api-map;state-map;persistence-map;static-validate;trace-review
20	Q_WaspBoss	quest	S_QWB	0x00E0E9F0		compare-runtime-trace	native-operation-ir-address-resolved	D:\Documents\FableTLC\refs\script_recovery\native_clusters\Q_WaspBoss.json	D:\Documents\FableTLC\refs\script_recovery\native_operation_ir\Q_WaspBoss.json	typed-decompile;api-map;state-map;persistence-map;static-validate;trace-review
20	Q_WhiteBalverineKnotholeGlade	quest	S_QWBKG	0x00E183B0		compare-runtime-trace	native-operation-ir-address-resolved	D:\Documents\FableTLC\refs\script_recovery\native_clusters\Q_WhiteBalverineKnotholeGlade.json	D:\Documents\FableTLC\refs\script_recovery\native_operation_ir\Q_WhiteBalverineKnotholeGlade.json	typed-decompile;api-map;state-map;persistence-map;static-validate;trace-review
20	Q_WhiteBalverineWW	quest	S_QWBW	0x00E1A770		compare-runtime-trace	native-operation-ir-address-resolved	D:\Documents\FableTLC\refs\script_recovery\native_clusters\Q_WhiteBalverineWW.json	D:\Documents\FableTLC\refs\script_recovery\native_operation_ir\Q_WhiteBalverineWW.json	typed-decompile;api-map;state-map;persistence-map;static-validate;trace-review
20	Q_WizardBattle	quest	S_QWZB	0x00E1D9F0		compare-runtime-trace	native-operation-ir-address-resolved	D:\Documents\FableTLC\refs\script_recovery\native_clusters\Q_WizardBattle.json	D:\Documents\FableTLC\refs\script_recovery\native_operation_ir\Q_WizardBattle.json	typed-decompile;api-map;state-map;persistence-map;static-validate;trace-review
25	QR_EscortTrader	repeatable_quest	S_QRET	0x00E24C30		compare-runtime-trace	native-operation-ir-address-resolved	D:\Documents\FableTLC\refs\script_recovery\native_clusters\QR_EscortTrader.json	D:\Documents\FableTLC\refs\script_recovery\native_operation_ir\QR_EscortTrader.json	typed-decompile;api-map;state-map;persistence-map;static-validate;trace-review
25	QR_EscortTrader_Manager	repeatable_quest	S_QRETM	0x00E25970		compare-runtime-trace	native-operation-ir-address-resolved	D:\Documents\FableTLC\refs\script_recovery\native_clusters\QR_EscortTrader_Manager.json	D:\Documents\FableTLC\refs\script_recovery\native_operation_ir\QR_EscortTrader_Manager.json	typed-decompile;api-map;state-map;persistence-map;static-validate;trace-review
30	V_AmbushScam	village	S_VAS	0x00E322C0		compare-runtime-trace	native-operation-ir-address-resolved	D:\Documents\FableTLC\refs\script_recovery\native_clusters\V_AmbushScam.json	D:\Documents\FableTLC\refs\script_recovery\native_operation_ir\V_AmbushScam.json	typed-decompile;api-map;state-map;persistence-map;static-validate;trace-review
30	V_ArcheryCompetition	village	S_VAC	0x00E37630		compare-runtime-trace	native-operation-ir-address-resolved	D:\Documents\FableTLC\refs\script_recovery\native_clusters\V_ArcheryCompetition.json	D:\Documents\FableTLC\refs\script_recovery\native_operation_ir\V_ArcheryCompetition.json	typed-decompile;api-map;state-map;persistence-map;static-validate;trace-review
30	V_AssassinAttacks	village	S_VAA	0x00E39850		compare-runtime-trace	native-operation-ir-address-resolved	D:\Documents\FableTLC\refs\script_recovery\native_clusters\V_AssassinAttacks.json	D:\Documents\FableTLC\refs\script_recovery\native_operation_ir\V_AssassinAttacks.json	typed-decompile;api-map;state-map;persistence-map;static-validate;trace-review
30	V_BanditCampPath	village	S_VBCP	0x00E477A0		compare-runtime-trace	native-operation-ir-address-resolved	D:\Documents\FableTLC\refs\script_recovery\native_clusters\V_BanditCampPath.json	D:\Documents\FableTLC\refs\script_recovery\native_operation_ir\V_BanditCampPath.json	typed-decompile;api-map;state-map;persistence-map;static-validate;trace-review
30	V_BanditToll	village	S_VBT	0x00E4F550		compare-runtime-trace	native-operation-ir-address-resolved	D:\Documents\FableTLC\refs\script_recovery\native_clusters\V_BanditToll.json	D:\Documents\FableTLC\refs\script_recovery\native_operation_ir\V_BanditToll.json	typed-decompile;api-map;state-map;persistence-map;static-validate;trace-review
30	V_BeardyBaldy	village	S_VBB	0x00E54260		compare-runtime-trace	native-operation-ir-address-resolved	D:\Documents\FableTLC\refs\script_recovery\native_clusters\V_BeardyBaldy.json	D:\Documents\FableTLC\refs\script_recovery\native_operation_ir\V_BeardyBaldy.json	typed-decompile;api-map;state-map;persistence-map;static-validate;trace-review
