# forge-autoname: evidence-based names for FUN_* (name->check workflow wf_698bd133-f69, 2026-07-21)
# addr	name	plate_comment  (high+medium confidence, checker-confirmed)
009ecd80	CHeroInformationScreens::Ctor	[forge-autoname conf=high <- wf] Initializes large structure with vptr, multiple list/string members, sets color values (0xff, 0x3c) confirmed
0042b467	StdMap_FindLE	[forge-autoname conf=medium <- wf] Binary search tree traversal via operator<, returns node <= key or root confirmed
004ac380	StdSet_Insert	[forge-autoname conf=medium <- wf] Red-black tree insertion with search via operator<, duplicate handling, rotation calls confirmed
009ac310	LTextTreeWalkThrough::Dtor	[forge-autoname conf=medium <- wf] Destroys binary tree walk structure, calls BuildTreeArray, frees buffer confirmed
00b262c0	Engine_AddRenderLayer	[forge-autoname conf=medium <- wf] String 'Engine: Add Render Layer' + DisplayProgress + CParticleMorphs initialization match the name
0045bc09	CActiveFile::operator=	[forge-autoname conf=high <- wf] CActiveFile* parameter/return + self-check + OnReadFinished call confirm operator= pattern
005dc2e0	CAnimationDef_FindAnimationByName	[forge-autoname conf=medium <- wf] Animation table lookup via FUN_005dc020 + callers (GetAnimFromName, PlayAnimation, HasAnim)
0075b8d0	Std_Vector_Assign	[forge-autoname conf=medium <- wf] Vector assignment pattern with malloc/memmove/reallocation matches STL helper
008ac9d0	Std_Vector_Erase_Range	[forge-autoname conf=medium <- wf] _Move + destructor calls on CScriptThing objects + vector end update confirm erase
00a9ad00	CCountedPointer_Construct	[forge-autoname conf=medium <- wf] CCountedPointer::Reset + ref counting logic + pair initialization
00405ba0	Std_Move_Backward	[forge-autoname conf=medium <- wf] Fastcall helper moves memory backward via memmove with pointer arithmetic
0043336a	Std_Vector_Erase_Range	[forge-autoname conf=medium <- wf] Element-wise shift via operator= + _Destroy_range + vector end update
0099ed10	CCharString::ToLower	[forge-autoname conf=high <- wf] tolower loop + copy-on-write pattern + UnassignString/ref counting
00535470	Std_Vector_Construct_Copy	[forge-autoname conf=medium <- wf] Copy constructor pattern with malloc/memmove
0046078c	CActiveFile::operator=	[forge-autoname conf=high <- wf] CActiveFile* parameter + element-wise copy loop + OnReadFinished call
00567d00	CTCElectrocutedEffect::InitFromStringRange	[forge-autoname conf=medium <- wf] Thiscall on CTCElectrocutedEffect + string buffer (+1 null term) + OnInitialActivate
00b84720	Engine_AddClockVertex	[forge-autoname conf=medium <- wf] Scaled y-coordinate calculation + vector append + expansion function
00412330	Std_Vector_Insert_Range_Copies	[forge-autoname conf=medium <- wf] Vector insert with CWideString copy loop + malloc
00b292b0	Std_Vector_Insert_Range	[forge-autoname conf=medium <- wf] Vector insert pattern: allocate/copy/fill/free
00c8f0d0	MemAllocator_Allocate	[forge-autoname conf=medium <- wf] Custom allocator: 8-byte alignment + malloc + linked list management
0042ab8a	Std_List_Insert	[forge-autoname conf=medium <- wf] List node allocation + linking + iterator pattern
0099b0f0	CCharString::operator==	[forge-autoname conf=high <- wf] String equality via dereference + length + content comparison via memcmp
00a22f80	CMatrix3x3::MultiplyByQuaternionRotation	[forge-autoname conf=high <- wf] SetFromAxisAngle + 3x3 matrix multiplication of 3 row vectors
005152c0	Std_List_Construct_From_Iterator_Range	[forge-autoname conf=medium <- wf] Iterator loop + malloc(0x18) nodes + linked list construction
009f17a0	CEventPacket::CopyToBuffer	[forge-autoname conf=medium <- wf] Copy from member offset +5 + dword/byte copy loops + size/flags setting
00a441e0	AngleDifference	[forge-autoname conf=high <- wf] Angle normalization: subtract + wrap to [0,2pi] + mirror to [-pi,pi]
00c0bfe0	Std_Allocator_Construct	[forge-autoname conf=medium <- wf] _Cons_val constructor call + allocator pattern
004ba4e0	Std_Vector_Push_Back_SmartPtr	[forge-autoname conf=medium <- wf] Smart pointer vector push: malloc + vtable construction
00512da0	BinarySearchTree_Insert	[forge-autoname conf=medium <- wf] BST traversal via comparison + insertion function call
00514160	Std_Vector_Construct_Copy	[forge-autoname conf=medium <- wf] Vector copy constructor: malloc(size*4) + memmove
0076ada0	Std_Vector_Insert_Range_Fill	[forge-autoname conf=medium <- wf] Vector insert with fill: allocate/copy/fill pattern
0099c1e0	CCharString::ReplaceSubstring	[forge-autoname conf=high <- wf] wcsstr search + substring replacement + ref-counted string management
00c3caa0	CTCFishingSpot::Destructor_UnwindHelper	[forge-autoname conf=medium <- wf] Vtable management + exception list handling + destructor unwind pattern
00403c60	MemCmp_Unsigned16	[forge-autoname conf=high <- wf] Element-wise ushort comparison returning 0 if equal, signed difference otherwise
00404310	CCharString_ComputeCRC32	[forge-autoname conf=high <- wf] String data dereference + CCRC::Calc call
00412450	Std_Vector_Erase_Range	[forge-autoname conf=medium <- wf] CWideString range erase: operator= shift + destructor calls
004408a0	Std_Vector_Insert_Range	[forge-autoname conf=medium <- wf] Vector insert: allocate/copy/fill/free pattern
00485dbc	Std_Vector_Insert_Range_Fill	[forge-autoname conf=medium <- wf] Vector insert with fill + FUN_00405ba0 helper
00592495	CCharString_Construct_Pair	[forge-autoname conf=medium <- wf] Constructs pair of CCharString from two pointer parameters
00999760	CAFile_FindFirstFile	[forge-autoname conf=high <- wf] wfindfirst + _wsplitpath + path reconstruction + status return
0049c370	Std_Vector_Insert_Range	[forge-autoname conf=medium <- wf] Vector insert: allocate/copy/fill/free
004ac940	Std_Vector_Insert_Range_SmartPtr	[forge-autoname conf=medium <- wf] Smart pointer vector insert: allocate/copy/fill + vtable destruction
00569940	Std_Vector_Destroy_Elements	[forge-autoname conf=medium <- wf] Destroys 3-element chunks: iterate + free each + free base
009ac2d0	Std_Deque_Construct	[forge-autoname conf=medium <- wf] Deque constructor: malloc(0x18) + pointer initialization
00c74450	CTCHeroStats::~CTCHeroStats	[forge-autoname conf=high <- wf] Fastcall thiscall on CTCHeroStats; sets vtable to dtor vtable pointer; manages global refcount DAT_0143cce0; calls InformOfEvent on hero stats object; clear destructor pattern with exception cleanup i
00514c10	std::map::find	[forge-autoname conf=medium <- wf] Binary search tree traversal with offsets +8/+0xc for children, +0x10 for key comparison; returns found element or attempts insert; matches red-black tree find semantics.
005bb346	std::vector::operator=	[forge-autoname conf=medium <- wf] Vector assignment thiscall; calls _Uninit_copy and FUN_005baa6b for element copying; manages source/dest vector pointers typical of assignment operator.
005e29d0	std::vector::_Reallocate	[forge-autoname conf=medium <- wf] Vector reallocation helper; allocates new memory via malloc; copies/fills elements via _Uninit_copy/_Uninit_fill_n; deallocates old via free; resizes vector of pair<uint64,CCountedPointer> pairs.
00b33ae0	CEnginePrimitiveTypeInfo_Manager_List_Insert	[forge-autoname conf=medium <- wf] Thiscall manages manager list at +0x278/+0x27c offsets; checks capacity and calls helper to extend if full; calls RegisterPrimitiveManager. Not a class method as proposed—evidence shows it's a utility
0042abaf	std::list::list	[forge-autoname conf=medium <- wf] Fastcall initializes doubly-linked list sentinel; malloc 0xc bytes; self-referencing prev/next pointers at +0 and +4. Matches list constructor sentinel initialization pattern.
0047ed0a	CUserProfileManager::ValidateSaveFile	[forge-autoname conf=medium <- wf] Thiscall verifies save file; calls VerifySignature, path hash comparison (FUN_004856cd), and signature table comparison (FUN_00485e5c); matches save file validation pattern.
0051bf90	std::map::insert	[forge-autoname conf=medium <- wf] Binary search tree insert; finds position via traversal, creates nodes, calls SortTreeRecursively; allocates with malloc; returns inserted pair. Standard map insert pattern.
005359d0	std::vector::_Reallocate	[forge-autoname conf=medium <- wf] Identical to 005e29d0; vector reallocation with element copy/fill for pair<uint64,CCountedPointer>; malloc, _Uninit_copy, _Uninit_fill_n, free pattern.
00535ad0	std::vector::push_back	[forge-autoname conf=medium <- wf] Vector push_back; checks capacity at +4/+8; if full, calls FUN_005359d0 to reallocate; if space available, stores element and increments size. Typical thiscall push_back.
0066b280	CAnimateThing_PlayRandomSound	[forge-autoname conf=medium <- wf] Plays sound from array with random selection; gets DisplayEngine, MeshBank; uses GFROR13 (RNG), modulo operation; not 'PlayRandomSoundVariation' as proposed—evidence shows basic random sound playing w
00686ed0	std::list::push_back	[forge-autoname conf=medium <- wf] List push_back at sentinel DAT_013ba8ac; allocates 0xc node; links via prev/next pointers; called by container operations and dialog methods. Standard list insertion pattern.
0099ee20	CCharString::ToUpper	[forge-autoname conf=high <- wf] Converts string to uppercase; increments refcount, iterates characters with toupper loop; handles refcounting correctly. String symbol confirms class affiliation (.\PKCTRMorphable.cpp context).
0099f930	CCharString::FromUInt64	[forge-autoname conf=high <- wf] Formats uint64 to string; uses format string '%I64u' literal; calls FUN_0099f1f0 (vsprintf); used by SaveGameState/Save functions for serialization. Clear uint64 formatting.
00c0dab0	CShaderResource::Assign	[forge-autoname conf=medium <- wf] Assigns shader resource with reference counting; validates pointers with debug assertions; calls InterlockedIncrement; calls GetPixelShader. Thiscall with CShaderResource parameter type.
00cd3152	std::vector::pop_back	[forge-autoname conf=medium <- wf] Vector pop_back; calls _Move to shift elements backward; decrements size at +4. Thiscall on vector container.
004ac0f0	std::vector::clear	[forge-autoname conf=medium <- wf] Clears vector by destructing all elements; calls FUN_004aa610 to iterate and destruct range; sets end pointer to begin. Standard vector clear.
00514e20	std::vector::_Init	[forge-autoname conf=medium <- wf] Initializes vector with capacity; allocates param_2 bytes via malloc; zeros memory via loop; sets up begin/end pointers. Used by data stream operations.
00517720	std::list::operator=	[forge-autoname conf=medium <- wf] List assignment/copy; iterates source list nodes (0x10 element size); copies element data via inline copy; handles internal doubly-linked structure. Thiscall list operator=
006cade0	std::vector::operator=	[forge-autoname conf=medium <- wf] Vector assignment with reallocation logic; copies elements via _Uninit_copy; manages capacity via malloc/free; handles reallocate-on-demand pattern.
0099f1f0	CCharString::Format_vsnprintf	[forge-autoname conf=high <- wf] Formats string using vsnprintf with 0x400 buffer; calls malloc/free; manages CCharString refcounting; used by GFIntToCharString_API and PrintToString. Clear string formatting helper.
00c185b0	CCombatAbilityStrafeDef::Initialize	[forge-autoname conf=medium <- wf] Thiscall with exception handling; sets vtable; initializes members; calls operator_new; has error string 'Error: EMEM'. Evidence suggests initialization/construction but not standard constructor signa
0042ab58	std::list::list	[forge-autoname conf=medium <- wf] Identical to 0042abaf; doubly-linked list sentinel initialization; fastcall, malloc 0xc, self-referencing prev/next. Standard list constructor pattern.
00436c80	std::vector::push_back_NoRealloc	[forge-autoname conf=medium <- wf] Simplified push_back without reallocation; stores element and increments size; calls FUN_00436ac0 only if capacity exceeded. This is push_back but evidence shows it handles only the simple case differ
00515cc0	std::vector::insert	[forge-autoname conf=medium <- wf] Vector insert with reallocation; calls malloc; uses memmove to shift elements; fills gap with param_3 value repeated param_5 times. Standard vector insert pattern.
00570332	CTCInventoryExperience::ConstructAbilityUI	[forge-autoname conf=high <- wf] Constructs experience/ability UI screen (3918 bytes); thiscall on CTCInventoryExperience; calls CreateMenuEntryComponent, CreateTickSlider, GetAbilityLevel; creates ability UI components. Caller Const
00571280	CTCInventoryExperience::ConstructAbilityUIPC	[forge-autoname conf=high <- wf] PC version of ability UI constructor (3962 bytes); thiscall on CTCInventoryExperience; uses PC_MENU_ENTRY templates instead of console versions; called by ConstructCategoryStrengthPC. Clear PC variant
00b6cbd0	std::vector::erase	[forge-autoname conf=medium <- wf] Vector element erasure; calls FUN_00b6c050/FUN_00b6c5d0 to shift/remove elements; manages CBaseIntelligentPointer refcounting for erasure. Thiscall erase implementation.
00431f90	std::vector::operator=	[forge-autoname conf=medium <- wf] Vector assignment for 0xc-sized elements (CActiveFile); copies/moves 12-byte records; calls FUN_0043212b for allocation; used by file handling. CActiveFile container assignment.
00485f3a	std::deque::insert	[forge-autoname conf=medium <- wf] Deque insert with capacity check; calls FUN_00485b6c if full; calls make_heap; used by texture/graphic loading. Thiscall deque insert.
008afd00	std::map::find	[forge-autoname conf=medium <- wf] Binary search tree find operation; identical tree traversal pattern to 00514c10 with offsets +8/+0xc for children, +0x10 for key; returns found value or sentinel. Another map::find instantiation.
00997f80	CInputProcessMain_GetCameraPath	[forge-autoname conf=medium <- wf] Gets camera path directory; checks DAT_013bca10; calls wcscmp for path comparison; calls AddManualCameraEvent. Not strictly 'GetCameraPathDirectory'—evidence shows it's more about validating/processin
009ba5b0	CStringParser::ReadInt64	[forge-autoname conf=high <- wf] Parses 64-bit integer from string; skips whitespace, iterates digits with isdigit, accumulates via __allmul; fastcall on CStringParser. Clear int64 parsing method.
009e5120	CSymbolMap::Lookup	[forge-autoname conf=high <- wf] Symbol map lookup; thiscall on CSymbolMap; calls LowerBound on symbol vector; uses FastCompare to verify match; returns symbol ID at +0xc offset. Clear symbol lookup method.
00553e60	std::map::insert	[forge-autoname conf=medium <- wf] Binary search tree insert; finds position, creates node, calls FUN_005537f0; returns inserted pair address. Identical pattern to other map::insert implementations.
005672d0	std::string::string	[forge-autoname conf=medium <- wf] String constructor (despite incorrect type annotation CTCElectrocutedEffect in decomp); allocates (_Size+1) via malloc; copies range [param_2, param_3); null-terminates. Standard string constructor.
00618be0	std::map::insert	[forge-autoname conf=medium <- wf] Binary search tree insert; finds position, creates node, calls FUN_00617520; returns inserted pair. Used by ConstructLogbookList. Another map::insert instantiation.
00632500	CPersistTraits<float>::Transfer	[forge-autoname conf=medium <- wf] Transfers float value via persistence context; calls CheckCRC, TransferBinaryIn or WriteCBYTE based on context mode (2=read, 3=write). Clear persistence transfer for float type.
006a11f0	CThing_Array_FindByID	[forge-autoname conf=medium <- wf] thiscall + CVectorMap::LowerBound lookup on ID param_2, returns CBaseObject from map via GetPItem; clear evidence of thing/ID lookup pattern
006a1270	CThing_Array_GetFirstPhysicalSwitch	[forge-autoname conf=medium <- wf] Despite GetDef<CThingPhysicalSwitchDef> call, function iterates array and returns CBaseObject or true/false flag via CONCAT31 low byte; evidence supports 'GetFirst' but return type is ambiguous
006bb390	Game_IsTimeOfDayInRange	[forge-autoname conf=medium <- wf] Float comparisons with param_2/param_3 modulo arithmetic; callers confirm time checks (IsCurfewTime, IsInSleepTime); returns comparison result
006d6fa0	Experience_GetLevelAndFraction	[forge-autoname conf=medium <- wf] Iterates level thresholds via offset 0x40/0x44, divides experience by level cap at line 185, returns level index - evidence matches proposal
007d5d60	std::vector_Insert	[forge-autoname conf=medium <- wf] malloc+memmove+realloc pattern with param_5 count and param_3 value; modifies vector internals; standard library pattern
009c2ca0	std::vector_InsertValue	[forge-autoname conf=medium <- wf] Similar insert pattern but with fill loop; malloc+loop copies param_3 uVar5 times; specialized vector insert variant
00a96e40	std::list_Copy	[forge-autoname conf=medium <- wf] Calls FUN_0045c811 to recurse linked list; sets next/prev pointers at offsets 0x8/0xc; param_2 source, param_1 destination
00c2a150	PKCSemaphore_Release	[forge-autoname conf=high <- wf] Directly calls ReleaseSemaphore WinAPI; string '.\PKCSemaphore.cpp' + 'Could not put unit on semaphore'; semaphore release confirmed
004b9370	std::map_FindNode	[forge-autoname conf=medium <- wf] Binary search tree traversal via offset 0x10 (key), 0x8/0xc (left/right); operator< comparisons; standard BST search pattern
00743b30	std::deque_PushBack	[forge-autoname conf=medium <- wf] Checks capacity at param_1+4/+8; calls FUN_00743270 (grow); appends 8 bytes to deque; standard deque append
00800020	CAnimation_RecalculateScale	[forge-autoname conf=medium <- wf] Multiplies scale at +0xc by child scales iteratively via tree walk offsets 0x18/+4/+8/+0xc; callers confirm animation context
0084e420	CActionParam_Constructor	[forge-autoname conf=medium <- wf] Initializes struct with vtable, default float 0x3e4ccccd, malloc 3x linked lists; constructor pattern confirmed via callers
008ad5f0	std::vector_InsertRange	[forge-autoname conf=medium <- wf] _Uninit_copy/_Uninit_fill_n patterns; inserts param_5 count of param_3; malloc reallocate; standard range insert
00a14260	C3DVector_FromSpherical	[forge-autoname conf=high <- wf] atan2+SQRT+sin/cos spherical-to-cartesian conversion with modulo wrapping; writes *param_1; spherical math confirmed
00c74420	CRefCountedObject_AddRef	[forge-autoname conf=medium <- wf] Increments DAT_0143cce0 if DAT_0143ccdc==0; vtable init at param_1[0]; thiscall refcount pattern clear
004110d0	CString_FillRange	[forge-autoname conf=medium <- wf] Fills byte range via memmove+memset pattern; FUN_0040f6b0 overflow handler; param_4 fill byte, param_3 count
00569140	std::string_InsertRange	[forge-autoname conf=medium <- wf] Inserts range param_2..param_3 via memmove; FUN_00567400 overflow; string copy/append pattern
006a7c60	CThingFilter_MatchesScriptName	[forge-autoname conf=medium <- wf] Compares CCharString at param_2+0x58; returns 1 if matches 'NULL' or empty string or actual name; filter predicate confirmed
