# LOW-confidence candidates — NOT applied, for review
00533b50	Vector_Append	Capacity check (+0xb4/+0xb8), 8-byte increment - generic vector append pattern
0045f13d	Allocator_Alloc_Struct_24byte	Identical malloc(0x18) dword pattern; generic allocator
0046149e	Allocator_Alloc_Struct_24byte	Identical malloc(0x18) pattern; generic allocator
004615c3	Allocator_Alloc_Struct_24byte	Identical malloc(0x18) pattern; called by tree clone functions
004622ec	Allocator_Alloc_Struct_24byte	Identical malloc(0x18) pattern; generic allocator
00462411	Allocator_Alloc_Struct_24byte	Identical malloc(0x18) pattern; generic allocator
004630e7	Allocator_Alloc_Struct_24byte	Identical malloc(0x18) pattern; generic allocator
006561c8	Lua_ClosureWrap	Single-callee luaV_Cclosure; thin wrapper. Name is reasonable but confidence is genuinely low due to minimal code and single caller.
009d2a40	Container_Fill	Allocates buffer and fills with repeated byte value via memcpy-like loop; generic container fill operation confirmed
00a0e700	Container_CopyRangeBuffered	Copies range with dynamic buffer wrapping (param_5), but generic thiscall makes class context unclear; 'Range' is more precise than specifics claimed
00c6da40	Audio_ResampleAndAccumulate_v2	Identical pattern to 00c6caf0 with phase interpolation; variant detection uncertain without deeper analysis
00c6dad0	Audio_ResampleDecayAndAccumulate_v2	Identical decay resampling pattern to 00c6cb80; variant detection uncertain
00c6de60	Audio_SetFilterCoefficients_v2	Identical to 00c6cef0; sets ushort from float with scale; variant detection uncertain
00c6e1f0	Audio_ProcessSSEMultiply_v2	Identical SSE pmulhw pattern as 00c6d370; audio DSP variant detection uncertain
00c6e790	Audio_ResampleAndAccumulate_v3	Identical to previous resample patterns; third variant; uncertain if genuine distinct variant
00c6e820	Audio_ResampleDecayAndAccumulate_v3	Identical decay resampling as previous; third variant; uncertain if truly distinct
00c6ecd0	Audio_ProcessSSEMultiply_v3	Identical SSE pattern; third variant; uncertain if truly distinct
00c6f730	Audio_ProcessSSE64BitMultiply_v2	Identical to 00c6f0f0 pattern; 64-bit audio processing variant; uncertain if truly distinct
00c6fbb0	Audio_ProcessSSE64BitMultiply_v3	Identical 64-bit SSE pattern; third variant; uncertain if truly distinct
